"","family","sample","oto_length_mm","oto_length_um","type_age","region","locality","source","oto_width_mm","fish_length_cm"
"1","Apogonidae","AT14-2-2",0.926688172,926.6881724,"Sub Recent","Bocas","Punta Donato","orig_df",0.7170708572,1.5699568950053
"2","Apogonidae","AT14-2-2",0.944686134,944.6861343,"Sub Recent","Bocas","Punta Donato","orig_df",0.6990807196,1.60000128182954
"3","Apogonidae","AT14-2-2",0.951001509,951.0015092,"Sub Recent","Bocas","Punta Donato","orig_df",0.3823862008,1.61054169553207
"4","Apogonidae","AT14-1-8",0.994560545,994.5605452,"Sub Recent","Bocas","Casa Blanca","orig_df",0.7180324654,1.68321476570291
"5","Apogonidae","AT14-2-2",0.997574687,997.5746869,"Sub Recent","Bocas","Punta Donato","orig_df",0.6827017128,1.68824176963926
"6","Apogonidae","AT12-1-2-1",1.025717844,1025.717844,"Sub Recent","Bocas","STRI Point","orig_df",0.7421239062,1.73516853884056
"7","Apogonidae","AT14-2-2",1.061617646,1061.617646,"Sub Recent","Bocas","Punta Donato","orig_df",0.8489800187,1.79500190880094
"8","Apogonidae","AT14-2-2",1.076746835,1076.746835,"Sub Recent","Bocas","Punta Donato","orig_df",0.7843882615,1.82020852011568
"9","Apogonidae","AT14-2-2",1.07974164,1079.74164,"Sub Recent","Bocas","Punta Donato","orig_df",0.7919812523,1.82519752677928
"10","Apogonidae","AT14-2-2",1.082078936,1082.078936,"Sub Recent","Bocas","Punta Donato","orig_df",0.8073079346,1.82909105811353
"11","Apogonidae","AT14-2-2",1.086303309,1086.303309,"Sub Recent","Bocas","Punta Donato","orig_df",0.8542800749,1.83612782404374
"12","Apogonidae","AT14-2-2",1.095762813,1095.762813,"Sub Recent","Bocas","Punta Donato","orig_df",0.8810711359,1.85188359112061
"13","Apogonidae","AT14-2-2",1.104713454,1104.713454,"Sub Recent","Bocas","Punta Donato","orig_df",0.7393405037,1.86678997611002
"14","Apogonidae","AT14-2-2",1.134870263,1134.870263,"Sub Recent","Bocas","Punta Donato","orig_df",0.8387427198,1.91700025701496
"15","Apogonidae","AT14-1-7",1.142609815,1142.609815,"Sub Recent","Bocas","Casa Blanca","orig_df",0.881953089,1.92988325913568
"16","Apogonidae","AT14-2-2",1.1565625,1156.5625,"Sub Recent","Bocas","Punta Donato","orig_df",0.9176369413,1.95310524116094
"17","Apogonidae","AT14-2-2",1.165709234,1165.709234,"Sub Recent","Bocas","Punta Donato","orig_df",0.774141678,1.96832628624846
"18","Apogonidae","AT14-2-2",1.170306173,1170.306173,"Sub Recent","Bocas","Punta Donato","orig_df",0.8824812255,1.97597537914566
"19","Apogonidae","AT14-2-2",1.181146111,1181.146111,"Sub Recent","Bocas","Punta Donato","orig_df",0.8924962142,1.99401080786951
"20","Apogonidae","AT14-2-2",1.186594917,1186.594917,"Sub Recent","Bocas","Punta Donato","orig_df",0.8127486463,2.00307559191527
"21","Apogonidae","AT14-2-2",1.251511095,1251.511095,"Sub Recent","Bocas","Punta Donato","orig_df",0.874159448,2.11102620375688
"22","Apogonidae","AT12-1-2-1",1.257800095,1257.800095,"Sub Recent","Bocas","STRI Point","orig_df",0.9077460519,2.12147993794462
"23","Apogonidae","AT14-3-3",1.270001715,1270.001715,"Sub Recent","Bocas","Cayo Adriana","orig_df",0.9374673213,2.14175961651117
"24","Apogonidae","AT14-3-3",1.290497088,1290.497088,"Sub Recent","Bocas","Cayo Adriana","orig_df",0.9788695281,2.17581755714448
